name,price,currency,image_url,image_location
Radiant Raxoll Antibacterial Soap (Moisture) 100 gm,75,BDT,https://chaldn.com/_mpimage/radiant-raxoll-antibacterial-soap-moisture-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186365&q=best&v=1&m=400&webp=1,images/Radiant_Raxoll_Antibacterial_Soap_Moisture_100_gm.jpg
Radiant Raxoll Antibacterial Soap (Moisture) 75 gm,60,BDT,https://chaldn.com/_mpimage/radiant-raxoll-antibacterial-soap-moisture-75-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186368&q=best&v=1&m=400&webp=1,images/Radiant_Raxoll_Antibacterial_Soap_Moisture_75_gm.jpg
Radiant Raxoll Antibacterial Soap (Sport) 100 gm,75,BDT,https://chaldn.com/_mpimage/radiant-raxoll-antibacterial-soap-sport-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186366&q=best&v=1&m=400&webp=1,images/Radiant_Raxoll_Antibacterial_Soap_Sport_100_gm.jpg
95 Dettol Soap Neem with Pure Neem Oil Shower Bar 125 gm,89,BDT,https://chaldn.com/_mpimage/dettol-soap-neem-with-pure-neem-oil-shower-bar-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D155743&q=best&v=1&m=400&webp=1,images/95_Dettol_Soap_Neem_with_Pure_Neem_Oil_Shower_Bar_125_gm.jpg
Dettol Soap Neem with Pure Neem Oil Shower Bar 75 gm,65,BDT,https://chaldn.com/_mpimage/dettol-soap-neem-with-pure-neem-oil-shower-bar-75-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D155744&q=best&v=1&m=400&webp=1,images/Dettol_Soap_Neem_with_Pure_Neem_Oil_Shower_Bar_75_gm.jpg
Dettol Original Germ Defence Soap 100 gm,80,BDT,https://chaldn.com/_mpimage/dettol-original-germ-defence-soap-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179247&q=best&v=1&m=400&webp=1,images/Dettol_Original_Germ_Defence_Soap_100_gm.jpg
ACI Savlon Soap Fresh 125 gm 3 pcs,225,BDT,https://chaldn.com/_mpimage/aci-savlon-soap-fresh-125-gm-3-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D146507&q=best&v=1&m=400&webp=1,images/ACI_Savlon_Soap_Fresh_125_gm_3_pcs.jpg
Dettol Soap Fresh Bathing Bar Soap With Odour Protection 125 gm,95,BDT,https://chaldn.com/_mpimage/dettol-soap-fresh-bathing-bar-soap-with-odour-protection-125-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D181251&q=best&v=1&m=400&webp=1,images/Dettol_Soap_Fresh_Bathing_Bar_Soap_With_Odour_Protection_125_gm.jpg
Dettol Soap Fresh Bathing Bar Soap With Odour Protection 75 gm,65,BDT,https://chaldn.com/_mpimage/dettol-soap-fresh-bathing-bar-soap-with-odour-protection-75-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127687&q=best&v=1&m=400&webp=1,images/Dettol_Soap_Fresh_Bathing_Bar_Soap_With_Odour_Protection_75_gm.jpg
Dettol Soap Bathing Bar Original Germ Defence 125 gm (Combo Pack) 2 pcs,190,BDT,https://chaldn.com/_mpimage/dettol-soap-bathing-bar-original-germ-defence-125-gm-combo-pack-2-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D120005&q=best&v=1&m=400&webp=1,images/Dettol_Soap_Bathing_Bar_Original_Germ_Defence_125_gm_Combo_Pack_2_pcs.jpg
